symptom_prompt,tune_output,expected_completion
"Given the following symptoms, identify the most likely disease and medical department.
Symptoms: I have trouble breathing and my face and chest are swollen. My eyes are itchy and I have a dry cough.","Disease: allergy
Department: dermatology / allergy","Disease: allergy
Department: dermatology /"
"Given the following symptoms, identify the most likely disease and medical department.
Symptoms: cough, lip swelling, abnormal appearing skin, peripheral edema, itchiness of eye, allergic reaction, itching of skin","Disease: allergy
Department: dermatology / allergy / immunology","Disease: allergy
Department: dermatology /"
"Given the following symptoms, identify the most likely disease and medical department.
Symptoms: abnormal appearing skin, peripheral edema, allergic reaction","Disease: allergy
Department: dermatology / allergy / immunology","Disease: allergy
Department: dermatology /"
"Given the following symptoms, identify the most likely disease and medical department.
Symptoms: cough, lip swelling, abnormal appearing skin, peripheral edema, itchiness of eye, allergic reaction, fluid retention","Disease: allergy
Department: dermatology / allergy / immunology","Disease: allergy
Department: dermatology /"
"Given the following symptoms, identify the most likely disease and medical department.
Symptoms: lip swelling, abnormal appearing skin, swollen eye, skin rash","Disease: allergy
Department: dermatology / allergy / immunology","Disease: allergy
Department: dermatology /"
"Given the following symptoms, identify the most likely disease and medical department.
Symptoms: abnormal appearing skin, fluid retention, swollen eye","Disease: allergy
Department: dermatology / allergy","Disease: allergy
Department: dermatology /"
"Given the following symptoms, identify the most likely disease and medical department.
Symptoms: cough, lip swelling, itchiness of eye","Disease: allergy
Department: dermatology / allergy","Disease: allergy
Department: dermatology /"
"Given the following symptoms, identify the most likely disease and medical department.
Symptoms: cough, skin swelling, lip swelling, abnormal appearing skin, itchiness of eye, fluid retention","Disease: allergy
Department: dermatology / allergy / immunology","Disease: allergy
Department: dermatology /"
"Given the following symptoms, identify the most likely disease and medical department.
Symptoms: cough, skin swelling, abnormal appearing skin, peripheral edema, itchiness of eye, fluid retention, itching of skin","Disease: allergy
Department: dermatology / allergy","Disease: allergy
Department: dermatology /"
"Given the following symptoms, identify the most likely disease and medical department.
Symptoms: cough, lip swelling, abnormal appearing skin, fluid retention","Disease: allergy
Department: dermatology / allergy / immunology","Disease: allergy
Department: dermatology /"
"Given the following symptoms, identify the most likely disease and medical department.
Symptoms: skin swelling, abnormal appearing skin, peripheral edema, fluid retention, swollen eye, itching of skin","Disease: allergy
Department: dermatology / allergy","Disease: allergy
Department: dermatology /"
"Given the following symptoms, identify the most likely disease and medical department.
Symptoms: lip swelling, abnormal appearing skin, peripheral edema, itchiness of eye, fluid retention, swollen eye, itching of skin, skin rash","Disease: allergy
Department: dermatology / allergy","Disease: allergy
Department: dermatology /"
"Given the following symptoms, identify the most likely disease and medical department.
Symptoms: cough, abnormal appearing skin, peripheral edema, itchiness of eye, allergic reaction, fluid retention, swollen eye","Disease: allergy
Department: dermatology / allergy / immunology","Disease: allergy
Department: dermatology /"
"Given the following symptoms, identify the most likely disease and medical department.
Symptoms: peripheral edema, swollen eye, skin rash","Disease: allergy
Department: dermatology / allergy","Disease: allergy
Department: dermatology /"
"Given the following symptoms, identify the most likely disease and medical department.
Symptoms: cough, skin swelling, abnormal appearing skin, peripheral edema, fluid retention, swollen eye","Disease: allergy
Department: dermatology / allergy","Disease: allergy
Department: dermatology /"
"Given the following symptoms, identify the most likely disease and medical department.
Symptoms: I have a stuffy nose and a blocked nose. I also have stiffness and chest pain sometimes at night. I can't taste or smell anything.","Disease: allergy
Department: dermatology / allergy","Disease: allergy
Department: dermatology /"
"Given the following symptoms, identify the most likely disease and medical department.
Symptoms: peripheral edema, itchiness of eye, allergic reaction, fluid retention, itching of skin, skin rash","Disease: allergy
Department: dermatology / allergy / immunology","Disease: allergy
Department: dermatology /"
"Given the following symptoms, identify the most likely disease and medical department.
Symptoms: skin swelling, abnormal appearing skin, peripheral edema, itchiness of eye, fluid retention","Disease: allergy
Department: dermatology / allergy / immunology","Disease: allergy
Department: dermatology /"
"Given the following symptoms, identify the most likely disease and medical department.
Symptoms: cough, lip swelling, abnormal appearing skin, peripheral edema, fluid retention, swollen eye","Disease: allergy
Department: dermatology / allergy","Disease: allergy
Department: dermatology /"
"Given the following symptoms, identify the most likely disease and medical department.
Symptoms: cough, skin swelling, abnormal appearing skin, peripheral edema, itchiness of eye, allergic reaction, fluid retention, itching of skin","Disease: allergy
Department: dermatology / allergy / immunology","Disease: allergy
Department: dermatology /"
"Given the following symptoms, identify the most likely disease and medical department.
Symptoms: cough, peripheral edema, allergic reaction, itching of skin, skin rash","Disease: allergy
Department: dermatology / allergy / immunology","Disease: allergy
Department: dermatology /"
"Given the following symptoms, identify the most likely disease and medical department.
Symptoms: cough, itchiness of eye, fluid retention, swollen eye, skin rash","Disease: allergy
Department: dermatology / allergy","Disease: allergy
Department: dermatology /"
"Given the following symptoms, identify the most likely disease and medical department.
Symptoms: cough, lip swelling, abnormal appearing skin, itchiness of eye, allergic reaction, swollen eye, skin rash","Disease: allergy
Department: dermatology / allergy / immunology","Disease: allergy
Department: dermatology /"
"Given the following symptoms, identify the most likely disease and medical department.
Symptoms: cough, abnormal appearing skin, peripheral edema, itchiness of eye, allergic reaction","Disease: allergy
Department: dermatology / allergy / immunology","Disease: allergy
Department: dermatology /"
"Given the following symptoms, identify the most likely disease and medical department.
Symptoms: cough, lip swelling, fluid retention, itching of skin, skin rash","Disease: allergy
Department: dermatology / allergy","Disease: allergy
Department: dermatology /"
"Given the following symptoms, identify the most likely disease and medical department.
Symptoms: skin swelling, itching of skin, skin rash","Disease: psoriasis
Department: Dermatology / Allergy / Immunology","Disease: allergy
Department: dermatology /"
"Given the following symptoms, identify the most likely disease and medical department.
Symptoms: lip swelling, peripheral edema, fluid retention, itching of skin, skin rash","Disease: allergy
Department: dermatology / allergy","Disease: allergy
Department: dermatology /"
"Given the following symptoms, identify the most likely disease and medical department.
Symptoms: skin swelling, allergic reaction, fluid retention, swollen eye, skin rash","Disease: allergy
Department: dermatology / allergy / immunology","Disease: allergy
Department: dermatology /"
