symptom_prompt,tune_output,expected_completion
"### Instruction:
Given the following symptoms, identify the most likely disease and medical department.
Symptoms: retention of urine, suprapubic pain, frequent urination, lower abdominal pain, blood in urine, back pain, side pain, fever","Disease: urinary tract infection
Department: Internal Medicine","Disease: urinary tract infection
Department: Internal Medicine"
"### Instruction:
Given the following symptoms, identify the most likely disease and medical department.
Symptoms: lip swelling, abnormal appearing skin, swollen eye, skin rash","Disease: allergy
Department: dermatology / allergy / immunology","Disease: allergy
Department: Dermatology / Allergy"
"### Instruction:
Given the following symptoms, identify the most likely disease and medical department.
Symptoms: shortness of breath, cough, nasal congestion, vomiting, wheezing, fever, difficulty breathing, chills, coryza","Disease: pneumonia
Department: Pulmonology / Respiratory Medicine","Disease: pneumonia
Department: Pulmonology / Respiratory"
"### Instruction:
Given the following symptoms, identify the most likely disease and medical department.
Symptoms: The individual has been experiencing I can't seem to get warm. My head hurts and I feel like I have a fever for several days.","Disease: common cold
Department: Internal Medicine / General Practice","Disease: common cold
Department: Internal Medicine"
"### Instruction:
Given the following symptoms, identify the most likely disease and medical department.
Symptoms: The patient experiences I've been feeling really sick and my neck feels swollen. Also notes no other major issues.","Disease: common cold
Department: Internal Medicine / General Practice","Disease: common cold
Department: Internal Medicine"
"### Instruction:
Given the following symptoms, identify the most likely disease and medical department.
Symptoms: The person presents with my muscles are weak. My joints are swollen over the past few days.","Disease: arthritis
Department: Orthopedics / Rheumatology","Disease: arthritis
Department: Orthopedics / Rheumatology"
"### Instruction:
Given the following symptoms, identify the most likely disease and medical department.
Symptoms: This patient presents with a headache. The muscle pain is like a constant ache that is worse when I try to use the affected muscles. I also have small red spots developing on my face, arms, and I have been experiencing muscle pain for several days.","Disease: dengue
Department: Infectious / Tropical Medicine","Disease: dengue
Department: Infectious / Tropical Medicine"
"### Instruction:
Given the following symptoms, identify the most likely disease and medical department.
Symptoms: sharp chest pain, sore throat, nasal congestion, fever, coryza","Disease: pneumonia
Department: Pulmonology / Respiratory Medicine","Disease: pneumonia
Department: Pulmonology / Respiratory"
"### Instruction:
Given the following symptoms, identify the most likely disease and medical department.
Symptoms: The patient has I'm always thirsty and I'm always getting lost. I can't see very well anymore for a while.","Disease: diabetes
Department: Internal Medicine / Endocrinology","Disease: diabetes
Department: Internal Medicine"
"### Instruction:
Given the following symptoms, identify the most likely disease and medical department.
Symptoms: I have a lot of heartburn and acid reflux. I also feel sick after eating and sometimes throw up.","Disease: gastroesophageal reflux disease
Department: Internal Medicine / Gastroenterology / Digestive System / Infectious / Tropical Medicine / Internal Medicine and Pediatrics / General Surgery / Surgery / Internal Medicine / Pediatrics / Obstetrics and Gynecology / Surgery / Internal Medicine / Pediatrics / Obstetrics and Gynecology / Internal Medicine / Pediatrics / Obstetrics and Gynecology / Internal Medicine / Pediatrics / Obstetrics and Gynecology / Internal Medicine / Pediatrics / Obstetrics and Gynecology / Internal Medicine / Pediatrics / Obstetrics and Gynecology / Internal Medicine / Pediatrics / Obstetrics and Gynecology / Internal Medicine / Pediatrics / Obstetrics and Gynecology / Internal Medicine / Pediatrics / Ob","Disease: gastroesophageal reflux disease
Department: Internal Medicine"
